time,gpu_utilization
389953.0,0.095
390009.0,0.095
390288.0,0.095
390304.0,0.095
390424.0,0.1
390437.0,0.1
390476.0,0.09
390497.0,0.09
390503.0,0.08
390527.0,0.08
390617.0,0.08
390648.0,0.08
390725.0,0.08
390763.0,0.08
391008.0,0.08
391024.0,0.08
391051.0,0.08
391088.0,0.08
391168.0,0.08
391218.0,0.08
391368.0,0.08
391402.0,0.08
391476.0,0.08
391608.0,0.08
391652.0,0.08
391735.0,0.08
391965.0,0.08
392059.0,0.08
392182.0,0.08
392489.0,0.075
393257.0,0.075
393739.0,0.075
395081.0,0.075
395261.0,0.075
395293.0,0.075
395411.0,0.075
395705.0,0.075
395873.0,0.075
395891.0,0.075
395920.0,0.075
396050.0,0.075
396059.0,0.075
396070.0,0.075
396204.0,0.075
396356.0,0.075
396404.0,0.075
396423.0,0.055
396424.0,0.055
396430.0,0.055
396491.0,0.055
396652.0,0.055
396715.0,0.055
396934.0,0.055
397086.0,0.055
397116.0,0.07
397203.0,0.065
397274.0,0.06
397286.0,0.055
398487.0,0.055
398915.0,0.055
399439.0,0.055
400468.0,0.055
400649.0,0.05
400708.0,0.04
400712.0,0.035
402129.0,0.035
402655.0,0.035
402747.0,0.035
402864.0,0.035
402887.0,0.035
402909.0,0.035
402914.0,0.035
403150.0,0.035
403214.0,0.035
403348.0,0.035
403384.0,0.035
403425.0,0.035
403457.0,0.035
403590.0,0.035
403989.0,0.035
403992.0,0.035
404170.0,0.035
404199.0,0.035
404332.0,0.035
404512.0,0.035
404831.0,0.035
404866.0,0.035
404890.0,0.035
404935.0,0.035
404984.0,0.035
405302.0,0.035
405379.0,0.035
405388.0,0.035
405500.0,0.035
405571.0,0.035
405595.0,0.035
405628.0,0.035
405734.0,0.035
405760.0,0.035
405762.0,0.035
405763.0,0.035
405831.0,0.035
405832.0,0.035
405986.0,0.035
406267.0,0.035
406336.0,0.035
406339.0,0.035
406364.0,0.035
406371.0,0.035
406394.0,0.035
406397.0,0.035
406413.0,0.035
406983.0,0.035
407057.0,0.035
407088.0,0.035
407385.0,0.035
408343.0,0.035
409311.0,0.035
409360.0,0.035
409442.0,0.035
410217.0,0.035
410232.0,0.035
410499.0,0.035
410712.0,0.035
410792.0,0.035
410966.0,0.035
411159.0,0.035
411241.0,0.035
411283.0,0.035
411286.0,0.035
411312.0,0.035
411383.0,0.035
411386.0,0.035
411424.0,0.035
411518.0,0.035
411522.0,0.035
411543.0,0.035
411544.0,0.035
411547.0,0.035
411574.0,0.035
411640.0,0.035
411644.0,0.035
411663.0,0.035
411698.0,0.035
411731.0,0.035
411754.0,0.035
411820.0,0.035
411831.0,0.035
411842.0,0.035
411952.0,0.035
411963.0,0.035
412034.0,0.035
412190.0,0.035
412311.0,0.035
412368.0,0.035
412434.0,0.035
412447.0,0.035
412558.0,0.035
412646.0,0.035
412706.0,0.035
412780.0,0.035
413147.0,0.035
413340.0,0.035
413468.0,0.035
413532.0,0.035
413657.0,0.035
413943.0,0.035
414063.0,0.035
414266.0,0.035
414419.0,0.035
414489.0,0.035
414541.0,0.035
414585.0,0.035
414611.0,0.035
414660.0,0.035
414732.0,0.035
415112.0,0.035
415212.0,0.035
415410.0,0.035
415530.0,0.035
415544.0,0.035
415597.0,0.035
415635.0,0.035
415757.0,0.035
416527.0,0.035
416534.0,0.035
416666.0,0.035
418163.0,0.035
418209.0,0.035
418875.0,0.035
419175.0,0.035
419293.0,0.035
419624.0,0.035
419693.0,0.035
419719.0,0.035
420313.0,0.035
420369.0,0.035
420517.0,0.035
421490.0,0.035
421740.0,0.035
421858.0,0.035
421886.0,0.035
421888.0,0.045
421900.0,0.055
422145.0,0.055
422979.0,0.055
423166.0,0.055
429190.0,0.055
429242.0,0.055
430862.0,0.05
433052.0,0.05
433054.0,0.05
433581.0,0.05
433587.0,0.05
434702.0,0.05
436319.0,0.05
436652.0,0.05
437255.0,0.05
437515.0,0.05
439486.0,0.055
439610.0,0.055
439846.0,0.05
441422.0,0.05
441784.0,0.05
441786.0,0.05
442387.0,0.05
442864.0,0.05
442994.0,0.05
443468.0,0.05
443592.0,0.05
444195.0,0.05
445778.0,0.05
448744.0,0.06
448869.0,0.06
449323.0,0.055
449969.0,0.055
450753.0,0.055
450839.0,0.055
450988.0,0.055
451198.0,0.055
451292.0,0.055
451348.0,0.055
451424.0,0.055
451438.0,0.055
452120.0,0.055
452126.0,0.055
455404.0,0.055
455457.0,0.05
456069.0,0.05
456595.0,0.05
457825.0,0.05
459987.0,0.05
460118.0,0.05
462365.0,0.05
462996.0,0.05
464048.0,0.05
464333.0,0.05
465543.0,0.05
465762.0,0.05
465766.0,0.05
465811.0,0.05
465931.0,0.05
466671.0,0.05
466863.0,0.05
466869.0,0.05
467353.00000000006,0.05
467412.00000000006,0.05
467511.00000000006,0.05
467884.00000000006,0.05
468039.00000000006,0.05
468064.00000000006,0.05
468099.00000000006,0.05
468676.00000000006,0.05
468879.00000000006,0.05
469750.00000000006,0.05
470249.00000000006,0.05
470740.00000000006,0.05
470870.00000000006,0.05
472276.00000000006,0.05
472277.00000000006,0.05
472293.00000000006,0.05
472298.00000000006,0.05
472400.00000000006,0.05
472500.00000000006,0.05
473086.00000000006,0.05
473146.00000000006,0.05
473238.00000000006,0.04
473248.00000000006,0.03
473291.00000000006,0.03
473353.00000000006,0.03
473364.00000000006,0.03
473438.00000000006,0.03
473473.00000000006,0.03
473704.00000000006,0.03
473711.00000000006,0.03
473747.00000000006,0.03
473944.00000000006,0.03
474067.00000000006,0.03
477172.00000000006,0.03
477173.00000000006,0.03
477294.00000000006,0.03
477430.00000000006,0.03
477624.00000000006,0.03
477646.00000000006,0.03
478147.00000000006,0.03
478343.00000000006,0.03
